"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","","","E92000001","England","England","Persons","15-24 yrs","","","2023/24","88.63598","87.93292","89.34326","87.52945","89.75228","60,817","6861435","","Decreasing and getting better","Not compared","","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000031","Wolverhampton","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","252.972","235.3005","270.3109","225.8817","280.917","815","32217","","Increasing and getting worse","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000022","North Tyneside","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","222.4749","201.4484","242.9774","190.5483","255.7716","450","20227","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000013","St. Helens","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","209.4539","190.0406","231.4232","179.2317","244.2141","405","19336","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000057","Northumberland","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","196.4637","180.6089","212.6296","172.1004","222.4127","590","30031","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000006","Halton","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","173.9372","151.7367","195.4112","140.651","209.1681","250","14373","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E06000024","North Somerset","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","170.7132","153.5316","189.2915","144.25","200.3911","360","21088","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000011","Knowsley","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","166.4622","147.6947","186.9538","137.6412","199.2485","285","17121","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000016","Barnsley","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","163.8217","147.4835","179.7322","139.0635","189.7024","405","24722","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000017","Doncaster","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","148.9897","136.5503","163.5827","129.4305","171.8914","480","32217","","No significant change","Worse","Worse","20230000","","","1y"
"90285","Hospital admissions caused by unintentional and deliberate injuries in young people (aged 15 to 24 years)","E92000001","England","E08000036","Wakefield","Upper tier local authorities (post 4/23)","Persons","15-24 yrs","","","2023/24","145.8322","133.7348","158.7299","127.1205","166.388","535","36686","","Decreasing and getting better","Worse","Worse","20230000","","","1y"
